unnamed:_0,filing_date,trade_date,ticker,insider_name,insider_title,trade_type,price,qty,owned,δown%,value,trade_price,trade_value,delta_own_pct,trade_date_ddmmyyyy,filing_date_ddmmyyyy,calc_value,value_abs_diff
,2026-01-22 16:21:16,2026-01-20,JPM,Hobson Mellody L,Dir,A,$306.51,914.0,153707.0,0.01,"+$280,000",306.51,280000.0,0.0001,20/01/2026,22/01/2026,280150.14,150.14000000001397
,2026-01-22 16:21:13,2026-01-20,JPM,Davis Alicia Boler,Dir,A,$306.51,914.0,3896.0,0.31,"+$280,000",306.51,280000.0,0.0031,20/01/2026,22/01/2026,280150.14,150.14000000001397
,2026-01-22 16:21:12,2026-01-20,JPM,Burke Stephen B,Dir,A,$306.51,914.0,262397.0,0,"+$280,000",306.51,280000.0,0.0,20/01/2026,22/01/2026,280150.14,150.14000000001397
,2026-01-22 16:21:10,2026-01-20,JPM,Bammann Linda,Dir,A,$306.51,914.0,83455.0,0.01,"+$280,000",306.51,280000.0,0.0001,20/01/2026,22/01/2026,280150.14,150.14000000001397
D,2026-01-22 16:20:54,2026-01-21,JPM,Petno Douglas B,Co-CEO CIB,G,$0.00,-811.0,438772.0,0,-$0,0.0,-0.0,0.0,21/01/2026,22/01/2026,-0.0,0.0
,2026-01-21 16:17:04,2026-01-20,JPM,Dimon James,"COB, CEO",G,$0.00,-90000.0,6345104.0,-0.01,-$0,0.0,-0.0,-0.0001,20/01/2026,21/01/2026,-0.0,0.0
,2026-01-16 18:02:28,2026-01-16,JPM,Piepszak Jennifer,COO,S,$312.79,-8571.0,71027.0,-0.11,"-$2,680,888",312.79,-2680888.0,-0.0011,16/01/2026,16/01/2026,-2680923.0900000003,35.09000000031665
,2026-01-16 18:02:27,2026-01-16,JPM,Petno Douglas B,Co-CEO CIB,S,$312.80,-3487.0,439583.0,-0.01,"-$1,090,728",312.8,-1090728.0,-0.0001,16/01/2026,16/01/2026,-1090733.6,5.600000000093132
,2026-01-16 18:02:26,2026-01-16,JPM,Lake Marianne,CEO CCB,S,$312.78,-3908.0,253494.0,-0.02,"-$1,222,353",312.78,-1222353.0,-0.0002,16/01/2026,16/01/2026,-1222344.24,8.760000000009313
,2026-01-16 18:02:24,2026-01-16,JPM,Friedman Stacey,GC,S,$312.80,-3404.0,129093.0,-0.03,"-$1,064,758",312.8,-1064758.0,-0.0003,16/01/2026,16/01/2026,-1064771.2,13.199999999953434
,2026-01-16 18:02:23,2026-01-16,JPM,Erdoes Mary E.,"CEO Asset, Wealth Management",S,$312.78,-5732.0,619136.0,-0.01,"-$1,792,878",312.78,-1792878.0,-0.0001,16/01/2026,16/01/2026,-1792854.9599999997,23.040000000270084
,2026-01-16 18:02:21,2026-01-16,JPM,Beer Lori A,CIO,S,$312.80,-2047.0,62499.0,-0.03,"-$640,295",312.8,-640295.0,-0.0003,16/01/2026,16/01/2026,-640301.6,6.599999999976717
,2026-01-16 18:02:20,2026-01-16,JPM,Barnum Jeremy,CFO,S,$312.79,-2893.0,26696.0,-0.1,"-$904,890",312.79,-904890.0,-0.001,16/01/2026,16/01/2026,-904901.4700000001,11.470000000088476
,2026-01-16 18:02:19,2026-01-16,JPM,Bacon Ashley,Chief Risk Officer,S,$312.79,-7364.0,237157.0,-0.03,"-$2,303,393",312.79,-2303393.0,-0.0003,16/01/2026,16/01/2026,-2303385.56,7.439999999944121
D,2026-01-15 16:16:49,2026-01-13,JPM,Korablina Elena A,Corporate Controller,F,$318.72,-7782.0,20036.0,-0.28,"-$2,480,240",318.72,-2480240.0,-0.0028000000000000004,13/01/2026,15/01/2026,-2480279.04,39.04000000003725
D,2026-01-15 16:16:47,2026-01-13,JPM,Rohrbaugh Troy L,Co-CEO CIB,F,$318.72,-23135.0,161371.0,-0.13,"-$7,373,472",318.72,-7373472.0,-0.0013,13/01/2026,15/01/2026,-7373587.2,115.20000000018626
D,2026-01-15 16:16:45,2026-01-13,JPM,Piepszak Jennifer,COO,F,$318.72,-16775.0,79598.0,-0.17,"-$5,346,444",318.72,-5346444.0,-0.0017000000000000001,13/01/2026,15/01/2026,-5346528.0,84.0
D,2026-01-15 16:16:44,2026-01-13,JPM,Petno Douglas B,Co-CEO CIB,F,$318.72,-16027.0,443070.0,-0.03,"-$5,108,045",318.72,-5108045.0,-0.0003,13/01/2026,15/01/2026,-5108125.44,80.44000000040978
D,2026-01-15 16:16:42,2026-01-13,JPM,Leopold Robin,Head of HR,F,$318.72,-7700.0,84187.0,-0.08,"-$2,454,106",318.72,-2454106.0,-0.0008,13/01/2026,15/01/2026,-2454144.0,38.0
D,2026-01-15 16:16:40,2026-01-13,JPM,Lake Marianne,CEO CCB,F,$318.72,-18287.0,257402.0,-0.07,"-$5,828,341",318.72,-5828341.0,-0.0007000000000000001,13/01/2026,15/01/2026,-5828432.640000001,91.64000000059605
D,2026-01-15 16:16:39,2026-01-13,JPM,Friedman Stacey,GC,F,$318.72,-15826.0,132497.0,-0.11,"-$5,043,984",318.72,-5043984.0,-0.0011,13/01/2026,15/01/2026,-5044062.720000001,78.72000000067055
D,2026-01-15 16:16:37,2026-01-13,JPM,Erdoes Mary E.,"CEO Asset, Wealth Management",F,$318.72,-27212.0,624868.0,-0.04,"-$8,672,873",318.72,-8672873.0,-0.0004,13/01/2026,15/01/2026,-8673008.64,135.64000000059605
D,2026-01-15 16:16:35,2026-01-13,JPM,Beer Lori A,CIO,F,$318.72,-8975.0,64546.0,-0.12,"-$2,860,467",318.72,-2860467.0,-0.0012,13/01/2026,15/01/2026,-2860512.0000000005,45.00000000046566
D,2026-01-15 16:16:34,2026-01-13,JPM,Barnum Jeremy,CFO,F,$318.72,-13310.0,29589.0,-0.31,"-$4,242,097",318.72,-4242097.0,-0.0031,13/01/2026,15/01/2026,-4242163.2,66.20000000018626
D,2026-01-15 16:16:32,2026-01-13,JPM,Bacon Ashley,Chief Risk Officer,F,$318.72,-14178.0,244521.0,-0.05,"-$4,518,741",318.72,-4518741.0,-0.0005,13/01/2026,15/01/2026,-4518812.16,71.16000000014901
,2026-01-02 16:38:49,2025-12-31,JPM,Rometty Virginia M,Dir,A,$322.22,113.0,13726.0,0.01,"+$36,304",322.22,36304.0,0.0001,31/12/2025,02/01/2026,36410.86,106.86000000000058
,2026-01-02 16:16:25,2025-12-31,JPM,Novakovic Phebe N,Dir,A,$322.22,116.0,12338.0,0.01,"+$37,500",322.22,37500.0,0.0001,31/12/2025,02/01/2026,37377.520000000004,122.47999999999593
,2026-01-02 16:16:24,2025-12-31,JPM,Hobson Mellody L,Dir,A,$322.22,140.0,152690.0,0,"+$45,000",322.22,45000.0,0.0,31/12/2025,02/01/2026,45110.8,110.80000000000291
,2026-01-02 16:16:22,2025-12-31,JPM,Burke Stephen B,Dir,A,$322.22,175.0,260795.0,0,"+$56,250",322.22,56250.0,0.0,31/12/2025,02/01/2026,56388.50000000001,138.50000000000728
,2025-11-13 16:17:28,2025-11-12,JPM,Rohrbaugh Troy L,Co-CEO CIB,G,$0.00,-9500.0,141717.0,-0.06,-$0,0.0,-0.0,-0.0006,12/11/2025,13/11/2025,-0.0,0.0
,2025-11-07 17:45:29,2025-11-07,JPM,Leopold Robin,Head of HR,S,$311.92,-966.0,77145.0,-0.01,"-$301,311",311.92,-301311.0,-0.0001,07/11/2025,07/11/2025,-301314.72000000003,3.720000000030268
,2025-11-06 16:18:25,2025-11-05,JPM,Erdoes Mary E.,"CEO Asset, Wealth Management",G,$0.00,-6468.0,601942.0,-0.01,-$0,0.0,-0.0,-0.0001,05/11/2025,06/11/2025,-0.0,0.0
,2025-11-05 16:17:12,2025-11-04,JPM,Petno Douglas B,Co-CEO CIB,G,$0.00,-809.0,429121.0,0,-$0,0.0,-0.0,0.0,04/11/2025,05/11/2025,-0.0,0.0
D,2025-10-27 16:20:46,2025-10-25,JPM,Korablina Elena A,Corporate Controller,F,$299.03,-963.0,13072.0,-0.07,"-$287,961",299.03,-287961.0,-0.0007000000000000001,25/10/2025,27/10/2025,-287965.88999999996,4.889999999955762
,2025-10-01 16:15:49,2025-09-30,JPM,Rometty Virginia M,Dir,A,$315.43,111.0,13549.0,0.01,"+$35,000",315.43,35000.0,0.0001,30/09/2025,01/10/2025,35012.73,12.730000000003201
,2025-10-01 16:15:47,2025-09-30,JPM,Novakovic Phebe N,Dir,A,$315.43,119.0,12165.0,0.01,"+$37,500",315.43,37500.0,0.0001,30/09/2025,01/10/2025,37536.17,36.169999999998254
,2025-10-01 16:15:46,2025-09-30,JPM,Hobson Mellody L,Dir,A,$315.43,135.0,152439.0,0,"+$42,500",315.43,42500.0,0.0,30/09/2025,01/10/2025,42583.05,83.05000000000291
,2025-10-01 16:15:44,2025-09-30,JPM,Burke Stephen B,Dir,A,$315.43,178.0,259881.0,0,"+$56,250",315.43,56250.0,0.0,30/09/2025,01/10/2025,56146.54,103.45999999999913
,2025-09-02 16:54:38,2025-09-02,JPM,Bammann Linda,Dir,S,$297.94,-9500.0,82207.0,-0.1,"-$2,830,472",297.94,-2830472.0,-0.001,02/09/2025,02/09/2025,-2830430.0,42.0
,2025-07-28 16:17:19,2025-07-25,JPM,Petno Douglas B,Co-CEO CIB,G,$0.00,-1682.0,429930.0,0,-$0,0.0,-0.0,0.0,25/07/2025,28/07/2025,-0.0,0.0
,2025-07-02 16:17:27,2025-06-30,JPM,Rometty Virginia M,Dir,A,$289.91,121.0,13376.0,0.01,"+$35,000",289.91,35000.0,0.0001,30/06/2025,02/07/2025,35079.11,79.11000000000058
,2025-07-02 16:17:25,2025-06-30,JPM,Novakovic Phebe N,Dir,A,$289.91,129.0,11992.0,0.01,"+$37,500",289.91,37500.0,0.0001,30/06/2025,02/07/2025,37398.39000000001,101.6099999999933
,2025-07-02 16:17:21,2025-06-30,JPM,Hobson Mellody L,Dir,A,$289.91,155.0,152198.0,0,"+$45,000",289.91,45000.0,0.0,30/06/2025,02/07/2025,44936.05,63.94999999999709
,2025-07-02 16:17:19,2025-06-30,JPM,Burke Stephen B,Dir,A,$289.91,194.0,258985.0,0,"+$56,250",289.91,56250.0,0.0,30/06/2025,02/07/2025,56242.54000000001,7.459999999991851
,2025-06-12 16:41:11,2025-06-12,JPM,Bacon Ashley,Chief Risk Officer,S,$267.44,-5201.0,229791.0,-0.02,"-$1,390,972",267.44,-1390972.0,-0.0002,12/06/2025,12/06/2025,-1390955.44,16.56000000005588
,2025-06-05 18:04:18,2025-06-05,JPM,Piepszak Jennifer,COO,S,$262.47,-6128.0,62455.0,-0.09,"-$1,608,424",262.47,-1608424.0,-0.0009,05/06/2025,05/06/2025,-1608416.1600000001,7.839999999850988
,2025-05-20 17:19:32,2025-05-20,JPM,Friedman Stacey,GC,S,$265.71,-9429.0,118881.0,-0.07,"-$2,505,410",265.71,-2505410.0,-0.0007000000000000001,20/05/2025,20/05/2025,-2505379.59,30.41000000014901
,2025-05-16 17:12:56,2025-05-16,JPM,Lake Marianne,CEO CCB,S,$267.08,-12274.0,241771.0,-0.05,"-$3,278,087",267.08,-3278087.0,-0.0005,16/05/2025,16/05/2025,-3278139.92,52.919999999925494
,2025-05-16 16:56:24,2025-05-16,JPM,Beer Lori A,CIO,S,$267.09,-5873.0,56356.0,-0.09,"-$1,568,605",267.09,-1568605.0,-0.0009,16/05/2025,16/05/2025,-1568619.5699999998,14.569999999832362
,2025-05-15 17:45:05,2025-05-15,JPM,Petno Douglas B,Co-CEO CIB,S,$266.89,-10141.0,431612.0,-0.02,"-$2,706,562",266.89,-2706562.0,-0.0002,15/05/2025,15/05/2025,-2706531.4899999998,30.510000000242144
,2025-05-15 17:30:42,2025-05-14,JPM,Dimon James,"COB, CEO",G,$0.00,-37812.0,6435063.0,-0.01,-$0,0.0,-0.0,-0.0001,14/05/2025,15/05/2025,-0.0,0.0
,2025-05-13 18:13:47,2025-05-13,JPM,Erdoes Mary E.,"CEO Asset, Wealth Management",S,$262.54,-14055.0,608410.0,-0.02,"-$3,689,941",262.54,-3689941.0,-0.0002,13/05/2025,13/05/2025,-3689999.7,58.700000000186265
,2025-05-13 18:13:46,2025-05-13,JPM,Bacon Ashley,Chief Risk Officer,S,$262.53,-5202.0,234992.0,-0.02,"-$1,365,656",262.53,-1365656.0,-0.0002,13/05/2025,13/05/2025,-1365681.0599999998,25.05999999982305
,2025-05-12 16:23:11,2025-05-12,JPM,Rohrbaugh Troy L,Co-CEO CIB,S,$263.08,-12500.0,151217.0,-0.08,"-$3,288,444",263.08,-3288444.0,-0.0008,12/05/2025,12/05/2025,-3288500.0,56.0
,2025-05-06 20:34:17,2025-05-06,JPM,Barnum Jeremy,CFO,S,$250.77,-40014.0,18017.0,-0.69,"-$10,034,435",250.77,-10034435.0,-0.0069,06/05/2025,06/05/2025,-10034310.780000001,124.2199999988079
,2025-05-06 20:32:14,2025-05-06,JPM,Piepszak Jennifer,COO,S,$250.76,-6129.0,68583.0,-0.08,"-$1,536,931",250.76,-1536931.0,-0.0008,06/05/2025,06/05/2025,-1536908.04,22.959999999962747
,2025-05-06 17:45:03,2025-05-05,JPM,Bammann Linda,Dir,G,$0.00,-500.0,91539.0,-0.01,-$0,0.0,-0.0,-0.0001,05/05/2025,06/05/2025,-0.0,0.0
,2025-05-06 17:45:03,2025-05-06,JPM,Bammann Linda,Dir,S,$250.00,-9500.0,91539.0,-0.09,"-$2,375,000",250.0,-2375000.0,-0.0009,06/05/2025,06/05/2025,-2375000.0,0.0
,2025-04-14 17:47:55,2025-04-14,JPM,Dimon James,"COB, CEO",S,$235.68,-133639.0,6472819.0,-0.02,"-$31,495,692",235.68,-31495692.0,-0.0002,14/04/2025,14/04/2025,-31496039.52,347.51999999955297
,2025-04-02 16:17:27,2025-03-31,JPM,Rometty Virginia M,Dir,A,$245.30,143.0,13170.0,0.01,"+$35,000",245.3,35000.0,0.0001,31/03/2025,02/04/2025,35077.9,77.90000000000146
,2025-04-02 16:17:26,2025-03-31,JPM,Novakovic Phebe N,Dir,A,$245.30,153.0,11743.0,0.01,"+$37,500",245.3,37500.0,0.0001,31/03/2025,02/04/2025,37530.9,30.900000000001455
,2025-04-02 16:17:25,2025-03-31,JPM,Hobson Mellody L,Dir,A,$245.30,183.0,151894.0,0,"+$45,000",245.3,45000.0,0.0,31/03/2025,02/04/2025,44889.9,110.09999999999854
,2025-04-02 16:17:24,2025-03-31,JPM,Burke Stephen B,Dir,A,$245.30,229.0,257789.0,0,"+$56,250",245.3,56250.0,0.0,31/03/2025,02/04/2025,56173.700000000004,76.29999999999563
D,2025-03-27 16:57:09,2025-03-25,JPM,Petno Douglas B,Co-CEO CIB,F,$249.72,-25092.0,441753.0,-0.05,"-$6,265,984",249.72,-6265984.0,-0.0005,25/03/2025,27/03/2025,-6265974.24,9.759999999776483
D,2025-03-27 16:54:00,2025-03-25,JPM,Pinto Daniel E,"Pres, COO",F,$249.72,-59169.0,714986.0,-0.08,"-$14,775,825",249.72,-14775825.0,-0.0008,25/03/2025,27/03/2025,-14775682.68,142.32000000029802
D,2025-03-27 16:52:57,2025-03-25,JPM,Lake Marianne,CEO CCB,F,$249.72,-25603.0,254045.0,-0.09,"-$6,393,628",249.72,-6393628.0,-0.0009,25/03/2025,27/03/2025,-6393581.16,46.83999999985099
D,2025-03-27 16:51:53,2025-03-25,JPM,Erdoes Mary E.,"CEO Asset, Wealth Management",F,$249.72,-34777.0,622465.0,-0.05,"-$8,684,604",249.72,-8684604.0,-0.0005,25/03/2025,27/03/2025,-8684512.44,91.56000000052154
D,2025-03-27 16:48:47,2025-03-25,JPM,Bacon Ashley,Chief Risk Officer,F,$249.72,-21385.0,240194.0,-0.08,"-$5,340,281",249.72,-5340281.0,-0.0008,25/03/2025,27/03/2025,-5340262.2,18.799999999813735
D,2025-03-27 16:21:51,2025-03-25,JPM,Rohrbaugh Troy L,Co-CEO CIB,F,$249.72,-37419.0,163717.0,-0.19,"-$9,344,375",249.72,-9344375.0,-0.0019,25/03/2025,27/03/2025,-9344272.68,102.32000000029802
D,2025-03-27 16:21:49,2025-03-25,JPM,Piepszak Jennifer,COO,F,$249.72,-25636.0,74712.0,-0.26,"-$6,401,869",249.72,-6401869.0,-0.0026,25/03/2025,27/03/2025,-6401821.92,47.080000000074506
D,2025-03-27 16:21:47,2025-03-25,JPM,Leopold Robin,Head of HR,F,$249.72,-12767.0,78111.0,-0.14,"-$3,188,124",249.72,-3188124.0,-0.0014000000000000002,25/03/2025,27/03/2025,-3188175.2399999998,51.239999999757856
D,2025-03-27 16:21:43,2025-03-25,JPM,Friedman Stacey,GC,F,$249.72,-23332.0,128310.0,-0.15,"-$5,826,490",249.72,-5826490.0,-0.0015,25/03/2025,27/03/2025,-5826467.04,22.959999999962747
D,2025-03-27 16:21:40,2025-03-25,JPM,Dimon James,"COB, CEO",F,$249.72,-164340.0,6606443.0,-0.02,"-$41,039,385",249.72,-41039385.0,-0.0002,25/03/2025,27/03/2025,-41038984.8,400.20000000298023
D,2025-03-27 16:21:39,2025-03-25,JPM,Beer Lori A,CIO,F,$249.72,-14523.0,62229.0,-0.19,"-$3,626,650",249.72,-3626650.0,-0.0019,25/03/2025,27/03/2025,-3626683.56,33.56000000005588
D,2025-03-27 16:21:37,2025-03-25,JPM,Barnum Jeremy,CFO,F,$249.72,-16388.0,58031.0,-0.22,"-$4,092,350",249.72,-4092350.0,-0.0022,25/03/2025,27/03/2025,-4092411.36,61.359999999869615
,2025-03-24 17:45:22,2025-03-24,JPM,Rohrbaugh Troy L,Co-CEO CIB,S,$247.02,-25000.0,133472.0,-0.16,"-$6,175,485",247.02,-6175485.0,-0.0016,24/03/2025,24/03/2025,-6175500.0,15.0
,2025-03-24 17:45:21,2025-03-24,JPM,Beer Lori A,CIO,S,$246.93,-2052.0,50482.0,-0.04,"-$506,698",246.93,-506698.0,-0.0004,24/03/2025,24/03/2025,-506700.36,2.35999999998603
,2025-03-24 17:45:20,2025-03-24,JPM,Piepszak Jennifer,COO,S,$247.03,-4272.0,50197.0,-0.08,"-$1,055,314",247.03,-1055314.0,-0.0008,24/03/2025,24/03/2025,-1055312.16,1.840000000083819
,2025-03-24 17:45:19,2025-03-24,JPM,Leopold Robin,Head of HR,S,$246.92,-1250.0,67793.0,-0.02,"-$308,652",246.92,-308652.0,-0.0002,24/03/2025,24/03/2025,-308650.0,2.0
,2025-02-20 18:51:38,2025-02-20,JPM,Rohrbaugh Troy L,Co-CEO CIB,S,$269.84,-37500.0,158472.0,-0.19,"-$10,118,869",269.84,-10118869.0,-0.0019,20/02/2025,20/02/2025,-10118999.999999998,130.99999999813735
,2025-02-20 18:49:34,2025-02-20,JPM,Beer Lori A,CIO,S,$269.88,-2053.0,52534.0,-0.04,"-$554,054",269.88,-554054.0,-0.0004,20/02/2025,20/02/2025,-554063.64,9.64000000001397
,2025-02-20 18:43:26,2025-02-20,JPM,Piepszak Jennifer,COO,S,$269.85,-4273.0,54469.0,-0.07,"-$1,153,078",269.85,-1153078.0,-0.0007000000000000001,20/02/2025,20/02/2025,-1153069.05,8.949999999953434
,2025-02-20 18:41:23,2025-02-20,JPM,Leopold Robin,Head of HR,S,$270.09,-1250.0,69043.0,-0.02,"-$337,610",270.09,-337610.0,-0.0002,20/02/2025,20/02/2025,-337612.49999999994,2.4999999999417923
,2025-02-20 18:21:49,2025-02-20,JPM,Dimon James,"COB, CEO",S,$269.84,-866361.0,6605306.0,-0.12,"-$233,776,513",269.84,-233776513.0,-0.0012,20/02/2025,20/02/2025,-233778852.23999998,2339.2399999797344
,2025-02-19 16:21:30,2025-02-18,JPM,Erdoes Mary E.,"CEO Asset, Wealth Management",S,$278.37,-5277.0,594354.0,-0.01,"-$1,468,971",278.37,-1468971.0,-0.0001,18/02/2025,19/02/2025,-1468958.49,12.510000000009313
,2025-02-19 16:21:29,2025-02-18,JPM,Petno Douglas B,Co-CEO CIB,S,$278.41,-3490.0,421471.0,-0.01,"-$971,646",278.41,-971646.0,-0.0001,18/02/2025,19/02/2025,-971650.9000000001,4.900000000139698
,2025-02-19 16:21:25,2025-02-18,JPM,Friedman Stacey,GC,S,$278.34,-3303.0,109451.0,-0.03,"-$919,371",278.34,-919371.0,-0.0003,18/02/2025,19/02/2025,-919357.0199999999,13.980000000097789
,2025-02-19 16:21:16,2025-02-18,JPM,Lake Marianne,CEO CCB,S,$278.36,-4232.0,229497.0,-0.02,"-$1,178,009",278.36,-1178009.0,-0.0002,18/02/2025,19/02/2025,-1178019.52,10.520000000018626
,2025-02-11 16:17:24,2025-02-10,JPM,Leopold Robin,Head of HR,G,$0.00,376.0,70293.0,-0.01,+$0,0.0,0.0,-0.0001,10/02/2025,11/02/2025,0.0,0.0
,2025-02-03 16:21:32,2025-01-31,JPM,Dimon James,"COB, CEO",G,$0.00,-185936.0,7339934.0,-0.02,-$0,0.0,-0.0,-0.0002,31/01/2025,03/02/2025,-0.0,0.0
,2025-01-23 16:27:13,2025-01-21,JPM,Weinberger Mark A,Dir,A,$261.88,1012.0,3143.0,0.47,"+$265,000",261.88,265000.0,0.004699999999999999,21/01/2025,23/01/2025,265022.56,22.55999999999767
,2025-01-23 16:27:12,2025-01-21,JPM,Smith Brad D,Dir,A,$261.88,1012.0,10910.0,0.1,"+$265,000",261.88,265000.0,0.001,21/01/2025,23/01/2025,265022.56,22.55999999999767
,2025-01-23 16:27:09,2025-01-21,JPM,Rometty Virginia M,Dir,A,$261.88,1012.0,13027.0,0.08,"+$265,000",261.88,265000.0,0.0008,21/01/2025,23/01/2025,265022.56,22.55999999999767
,2025-01-23 16:27:06,2025-01-21,JPM,Novakovic Phebe N,Dir,A,$261.88,1012.0,11590.0,0.1,"+$265,000",261.88,265000.0,0.001,21/01/2025,23/01/2025,265022.56,22.55999999999767
,2025-01-23 16:27:04,2025-01-21,JPM,Hobson Mellody L,Dir,A,$261.88,1012.0,151710.0,0.01,"+$265,000",261.88,265000.0,0.0001,21/01/2025,23/01/2025,265022.56,22.55999999999767
,2025-01-23 16:27:03,2025-01-21,JPM,Gorsky Alex,Dir,A,$261.88,1012.0,6251.0,0.19,"+$265,000",261.88,265000.0,0.0019,21/01/2025,23/01/2025,265022.56,22.55999999999767
,2025-01-23 16:27:01,2025-01-21,JPM,Boler-Davis Alicia S,Dir,A,$261.88,1012.0,2928.0,0.53,"+$265,000",261.88,265000.0,0.0053,21/01/2025,23/01/2025,265022.56,22.55999999999767
,2025-01-23 16:26:59,2025-01-21,JPM,Combs Todd A.,Dir,A,$261.88,1012.0,32759.0,0.03,"+$265,000",261.88,265000.0,0.0003,21/01/2025,23/01/2025,265022.56,22.55999999999767
,2025-01-23 16:26:58,2025-01-21,JPM,Burke Stephen B,Dir,A,$261.88,1012.0,257560.0,0,"+$265,000",261.88,265000.0,0.0,21/01/2025,23/01/2025,265022.56,22.55999999999767
,2025-01-23 16:26:56,2025-01-21,JPM,Bammann Linda,Dir,A,$261.88,1012.0,101304.0,0.01,"+$265,000",261.88,265000.0,0.0001,21/01/2025,23/01/2025,265022.56,22.55999999999767
,2025-01-16 18:00:38,2025-01-16,JPM,Lake Marianne,CEO CCB,S,$254.01,-4233.0,233729.0,-0.02,"-$1,075,203",254.01,-1075203.0,-0.0002,16/01/2025,16/01/2025,-1075224.33,21.330000000074506
,2025-01-16 18:00:35,2025-01-16,JPM,Petno Douglas B,Co-CEO CIB,S,$253.96,-3491.0,424961.0,-0.01,"-$886,565",253.96,-886565.0,-0.0001,16/01/2025,16/01/2025,-886574.36,9.35999999998603
,2025-01-16 18:00:33,2025-01-16,JPM,Friedman Stacey,GC,S,$253.94,-3303.0,112754.0,-0.03,"-$838,778",253.94,-838778.0,-0.0003,16/01/2025,16/01/2025,-838763.82,14.180000000051223
,2025-01-16 18:00:32,2025-01-16,JPM,Erdoes Mary E.,"CEO Asset, Wealth Management",S,$253.97,-5277.0,599631.0,-0.01,"-$1,340,216",253.97,-1340216.0,-0.0001,16/01/2025,16/01/2025,-1340199.69,16.31000000005588
