model,task,fold,train_start,train_end,test_start,test_end,roc_auc,pr_auc,accuracy,f1,precision,recall,brier,mae,rmse,r2,dir_acc
LSTM,reg_5d,0,2015-04-01,2020-04-01,2020-04-01,2020-10-01,,,,,,,,0.06315097295390008,0.07879383211549026,-1.1041780829840016,0.5360824742268041
LSTM,reg_5d,1,2015-04-01,2020-10-01,2020-10-01,2021-04-01,,,,,,,,0.05711456459548865,0.07540235168561032,-3.6766064696321425,0.5263157894736842
LSTM,reg_5d,2,2015-04-01,2021-04-01,2021-04-01,2021-10-01,,,,,,,,0.03295717685462077,0.04006036447346657,-0.49856106567243574,0.3917525773195876
LSTM,reg_5d,3,2015-04-01,2021-10-01,2021-10-01,2022-04-01,,,,,,,,0.04437297159686363,0.056860856502921255,-0.4992278527061169,0.5416666666666666
LSTM,reg_5d,4,2015-04-01,2022-04-01,2022-04-01,2022-10-01,,,,,,,,0.040881681367706056,0.04960026634014288,-0.12055714239862403,0.6041666666666666
LSTM,reg_5d,5,2015-04-01,2022-10-01,2022-10-01,2023-04-01,,,,,,,,0.027729233267111738,0.03393868260679645,-0.4761523126169971,0.631578947368421
LSTM,reg_5d,6,2015-04-01,2023-04-01,2023-04-01,2023-10-01,,,,,,,,0.02801974991356336,0.03373662171939813,-0.8225501755318674,0.5052631578947369
LSTM,reg_5d,7,2015-04-01,2023-10-01,2023-10-01,2024-04-01,,,,,,,,0.07473490293051491,0.11858244395775525,-48.28249181265359,0.648936170212766
LSTM,reg_5d,8,2015-04-01,2024-04-01,2024-04-01,2024-10-01,,,,,,,,0.034063675927325524,0.040767955401864335,-0.625578805579539,0.3917525773195876
LSTM,reg_5d,9,2015-04-01,2024-10-01,2024-10-01,2025-04-01,,,,,,,,0.080991640356133,0.1357082869864774,-7.7676182244061724,0.574468085106383
LSTM,reg_5d,10,2015-04-01,2025-04-01,2025-04-01,2025-10-01,,,,,,,,0.028817942863103713,0.04331302104931648,-2.4180921820462133,0.5208333333333334
LSTM,reg_20d,0,2015-04-01,2020-04-01,2020-04-01,2020-10-01,,,,,,,,0.12950559217280694,0.1748757259541425,-5.944432666807212,0.30927835051546393
LSTM,reg_20d,1,2015-04-01,2020-10-01,2020-10-01,2021-04-01,,,,,,,,0.07222484453251049,0.08777365815837486,-1.4192942008642766,0.4842105263157895
LSTM,reg_20d,2,2015-04-01,2021-04-01,2021-04-01,2021-10-01,,,,,,,,0.056741360805969504,0.06739221582968548,-1.1942748812521304,0.4329896907216495
LSTM,reg_20d,3,2015-04-01,2021-10-01,2021-10-01,2022-04-01,,,,,,,,0.09537030413776933,0.1155187258587023,-3.189395373421191,0.40625
LSTM,reg_20d,4,2015-04-01,2022-04-01,2022-04-01,2022-10-01,,,,,,,,0.061626768829551114,0.08103828120585738,-0.30413306492977776,0.4375
LSTM,reg_20d,5,2015-04-01,2022-10-01,2022-10-01,2023-04-01,,,,,,,,0.05614320050167373,0.06962463941450954,-0.39985127889417527,0.5473684210526316
LSTM,reg_20d,6,2015-04-01,2023-04-01,2023-04-01,2023-10-01,,,,,,,,0.0896175871993894,0.10062922891054389,-2.475877551775187,0.22105263157894736
LSTM,reg_20d,7,2015-04-01,2023-10-01,2023-10-01,2024-04-01,,,,,,,,0.10322454494790458,0.13564422681698013,-8.898030448535293,0.3829787234042553
LSTM,reg_20d,8,2015-04-01,2024-04-01,2024-04-01,2024-10-01,,,,,,,,0.06549107479058644,0.08919639337102885,-2.4404496620790117,0.44329896907216493
LSTM,reg_20d,9,2015-04-01,2024-10-01,2024-10-01,2025-04-01,,,,,,,,0.10744221864040683,0.13105702780275205,-1.5209435920903038,0.574468085106383
LSTM,reg_20d,10,2015-04-01,2025-04-01,2025-04-01,2025-10-01,,,,,,,,0.03587024462906136,0.04093996764986349,0.004166049096247959,0.6979166666666666
